component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,ICC_active_mA,input_leakage_nA,propagation_delay_ns,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
DIG_LOT03_COMP0000,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1706,905.808,905.8197,905.9096,904.6374,25.235,1.758,10.983,-0.0103,-0.0561,33.68,33.65,1.1706,905.808,905.8197,905.9096,904.6374,50.0,False,NOMINAL,HEALTHY,-27.79,43.47
DIG_LOT03_COMP0001,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1236,851.4898,851.5418,851.5597,850.3662,24.235,1.9215,10.56,0.012,0.0961,35.93,35.66,1.1236,851.4898,851.5418,851.5597,850.3662,50.0,False,NOMINAL,HEALTHY,47.77,27.89
DIG_LOT03_COMP0002,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1624,900.7876,900.8489,900.8238,899.6252,26.733,1.5883,12.989,-0.0331,0.015,35.56,35.85,1.1624,900.7876,900.8489,900.8238,899.6252,50.0,False,NOMINAL,HEALTHY,-34.45,-20.05
DIG_LOT03_COMP0003,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1919,928.4465,928.4997,928.6,927.2546,30.229,2.0011,12.096,-0.0375,-0.0043,36.01,36.31,1.1919,928.4465,928.4997,928.6,927.2546,50.0,False,NOMINAL,HEALTHY,43.05,48.12
DIG_LOT03_COMP0004,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,0.9362,714.1807,714.2555,714.3434,713.2445,26.616,1.9211,11.878,0.0158,0.0375,34.03,34.4,0.9362,714.1807,714.2555,714.3434,713.2445,50.0,False,NOMINAL,HEALTHY,13.39,-47.82
DIG_LOT03_COMP0005,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3096,1004.2957,1004.3702,1004.431,1002.9861,28.539,2.0934,11.657,-0.0223,0.0237,34.39,34.34,1.3096,1004.2957,1004.3702,1004.431,1002.9861,50.0,False,NOMINAL,HEALTHY,26.5,11.91
DIG_LOT03_COMP0006,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.045,812.531,812.6252,812.6703,811.486,23.792,2.2833,12.924,-0.0127,-0.069,32.24,33.0,1.045,812.531,812.6252,812.6703,811.486,50.0,False,NOMINAL,HEALTHY,-49.26,3.73
DIG_LOT03_COMP0007,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,0.9579,742.0923,742.1173,742.1751,741.1344,25.392,2.3473,11.267,0.0124,-0.0016,36.52,36.29,0.9579,742.0923,742.1173,742.1751,741.1344,50.0,False,NOMINAL,HEALTHY,-43.01,3.72
DIG_LOT03_COMP0008,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.4315,1121.4433,1121.5306,1121.5857,1120.0118,30.973,2.5595,13.986,0.0064,0.0429,36.94,36.24,1.4315,1121.4433,1121.5306,1121.5857,1120.0118,50.0,False,NOMINAL,HEALTHY,28.53,45.72
DIG_LOT03_COMP0009,LOT_03,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T03_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3022,990.5698,990.6627,990.7039,989.2676,23.449,1.953,12.714,-0.0075,0.0387,34.17,33.25,1.3022,990.5698,990.6627,990.7039,989.2676,50.0,False,NOMINAL,HEALTHY,13.21,-3.06
