component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,DSNU_DN,hot_pixel_count,supply_current_mA,dark_signal_mean_DN,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
IMA_LOT01_COMP0000,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,43.4608,61.7169,174.9915,503.0361,18.2561,15.01,5,43.96,9.72,0.0056,0.0188,61.64,61.77,43.4608,61.7169,174.9915,503.0361,18.2561,10.0,True,SPATIAL_OUTLIER,HEALTHY,-15.82,-40.7
IMA_LOT01_COMP0001,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.4628,17.2809,48.4658,133.8663,4.8181,10.79,5,40.88,6.82,-0.0108,0.0036,60.64,61.36,12.4628,17.2809,48.4658,133.8663,4.8181,10.0,False,NOMINAL,HEALTHY,3.18,31.66
IMA_LOT01_COMP0002,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.6178,18.2109,62.7178,203.8208,5.5931,11.05,7,47.32,10.1,-0.0243,-0.0487,59.98,61.97,12.6178,18.2109,62.7178,203.8208,5.5931,10.0,False,NOMINAL,HEALTHY,28.53,21.2
IMA_LOT01_COMP0003,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,11.9828,18.2978,65.0735,225.8094,6.315,11.9,2,44.23,8.62,-0.0243,-0.0369,60.99,61.6,11.9828,18.2978,65.0735,225.8094,6.315,10.0,False,NOMINAL,HEALTHY,10.83,16.36
IMA_LOT01_COMP0004,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.5018,19.0543,63.1972,224.4656,6.5525,9.92,2,41.57,7.03,0.0445,-0.0476,62.15,61.36,12.5018,19.0543,63.1972,224.4656,6.5525,10.0,False,NOMINAL,HEALTHY,32.15,-15.99
IMA_LOT01_COMP0005,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.0342,19.2496,67.1135,271.3734,6.2154,16.7,4,42.79,6.22,0.0006,-0.0556,63.25,62.31,13.0342,19.2496,67.1135,271.3734,6.2154,10.0,False,NOMINAL,HEALTHY,-16.64,-6.3
IMA_LOT01_COMP0006,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.1177,17.4835,42.3104,105.5455,4.3658,16.18,5,41.83,9.92,-0.0056,0.0639,62.32,61.61,13.1177,17.4835,42.3104,105.5455,4.3658,10.0,False,NOMINAL,HEALTHY,-9.67,4.4
IMA_LOT01_COMP0007,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.8981,17.221,38.1468,82.1762,4.3229,14.02,4,40.29,8.01,0.0,-0.0197,62.28,62.64,12.8981,17.221,38.1468,82.1762,4.3229,10.0,False,NOMINAL,HEALTHY,27.15,-20.41
IMA_LOT01_COMP0008,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.5022,16.9313,44.0846,119.6295,4.4291,7.56,5,42.41,7.67,0.0139,0.0141,60.3,62.57,12.5022,16.9313,44.0846,119.6295,4.4291,10.0,False,NOMINAL,HEALTHY,-29.42,21.89
IMA_LOT01_COMP0009,LOT_01,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T01_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.4151,17.94,57.9929,183.183,5.5249,12.68,7,38.25,6.67,-0.0124,-0.0529,60.25,61.62,12.4151,17.94,57.9929,183.183,5.5249,10.0,False,NOMINAL,HEALTHY,25.16,-31.48
