component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MEM_LOT00_COMP0000,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05261,0.08418,0.0983,0.1055,0.03157,169.64,0.00497,5.566,0.00852,-0.0073,0.0465,30.36,27.79,0.05261,0.08418,0.0983,0.1055,0.03157,0.5,False,NOMINAL,HEALTHY,-47.79,27.83
MEM_LOT00_COMP0001,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05395,0.09771,0.12216,0.12969,0.04376,124.68,0.00418,5.52,0.00827,-0.0179,-0.0056,27.08,27.46,0.05395,0.09771,0.12216,0.12969,0.04376,0.5,False,NOMINAL,HEALTHY,35.46,23.78
MEM_LOT00_COMP0002,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0513,0.09621,0.1218,0.12811,0.04491,161.99,0.00594,5.348,0.01024,-0.0045,0.1068,28.38,27.87,0.0513,0.09621,0.1218,0.12811,0.04491,0.5,False,NOMINAL,HEALTHY,25.68,-21.76
MEM_LOT00_COMP0003,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05299,0.08676,0.10647,0.11158,0.03377,141.46,0.00318,5.717,0.01049,-0.0414,-0.0373,27.37,28.17,0.05299,0.08676,0.10647,0.11158,0.03377,0.5,False,NOMINAL,HEALTHY,-21.16,-23.29
MEM_LOT00_COMP0004,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05136,0.0858,0.10484,0.10843,0.03444,125.54,0.00419,5.327,0.00754,0.0135,0.1186,29.09,28.06,0.05136,0.0858,0.10484,0.10843,0.03444,0.5,False,NOMINAL,HEALTHY,19.43,1.8
MEM_LOT00_COMP0005,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05104,0.08062,0.09496,0.09896,0.02958,134.58,0.00438,5.29,0.00734,-0.011,-0.0053,26.79,28.17,0.05104,0.08062,0.09496,0.09896,0.02958,0.5,False,NOMINAL,HEALTHY,-12.89,-10.49
MEM_LOT00_COMP0006,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.052,0.09049,0.11295,0.11609,0.03849,165.57,0.00591,5.772,0.00945,-0.026,-0.0642,28.24,28.11,0.052,0.09049,0.11295,0.11609,0.03849,0.5,False,NOMINAL,HEALTHY,-14.7,15.3
MEM_LOT00_COMP0007,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05533,0.08696,0.10414,0.10831,0.03163,186.82,0.00436,5.574,0.00686,-0.038,-0.0299,29.79,28.06,0.05533,0.08696,0.10414,0.10831,0.03163,0.5,False,NOMINAL,HEALTHY,30.84,-26.58
MEM_LOT00_COMP0008,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05376,0.09644,0.12159,0.1274,0.04268,144.42,0.00529,5.5,0.01129,0.0224,0.0167,27.77,27.73,0.05376,0.09644,0.12159,0.1274,0.04268,0.5,False,NOMINAL,HEALTHY,-17.47,3.55
MEM_LOT00_COMP0009,LOT_00,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T00_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05409,0.09952,0.29,0.368,0.04543,167.95,0.00526,5.533,0.00466,-0.0053,0.0467,28.11,27.94,0.05409,0.09952,0.29,0.368,0.04543,0.5,True,MEMS_STICTION_ONSET,HEALTHY,-28.02,-32.56
