component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MIX_LOT02_COMP0000,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0644,1606.853,1606.9654,1607.0654,1604.7886,-0.0142,-0.0425,35.0,35.35,2.0644,1606.853,1606.9654,1607.0654,1604.7886,75.0,False,NOMINAL,HEALTHY,25.87,-38.27
MIX_LOT02_COMP0001,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.8918,1460.3873,1460.4938,1460.5795,1458.4955,-0.0339,-0.0654,34.93,34.2,1.8918,1460.3873,1460.4938,1460.5795,1458.4955,75.0,False,NOMINAL,HEALTHY,18.49,-23.6
MIX_LOT02_COMP0002,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9029,1478.7273,1478.8182,1478.8794,1476.8244,0.0227,0.0118,36.0,35.25,1.9029,1478.7273,1478.8182,1478.8794,1476.8244,75.0,False,NOMINAL,HEALTHY,-15.79,-43.03
MIX_LOT02_COMP0003,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0875,1612.6104,1612.731,1612.7953,1610.5229,0.0143,0.0593,35.72,35.43,2.0875,1612.6104,1612.731,1612.7953,1610.5229,75.0,False,NOMINAL,HEALTHY,7.06,-42.99
MIX_LOT02_COMP0004,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9612,1521.3376,1521.394,1521.5419,1519.3764,-0.003,0.0058,33.46,32.85,1.9612,1521.3376,1521.394,1521.5419,1519.3764,75.0,False,NOMINAL,HEALTHY,30.52,-39.04
MIX_LOT02_COMP0005,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.7981,1370.3504,1370.419,1370.5147,1368.5523,0.0163,0.044,36.19,36.51,1.7981,1370.3504,1370.419,1370.5147,1368.5523,75.0,False,NOMINAL,HEALTHY,27.64,28.27
MIX_LOT02_COMP0006,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9171,1498.4706,1498.5849,1498.6594,1496.5535,-0.0391,0.0266,36.99,37.14,1.9171,1498.4706,1498.5849,1498.6594,1496.5535,75.0,False,NOMINAL,HEALTHY,-44.82,-13.34
MIX_LOT02_COMP0007,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0292,1575.4207,1575.5166,1575.5838,1573.3915,-0.0029,-0.0302,33.74,34.64,2.0292,1575.4207,1575.5166,1575.5838,1573.3915,75.0,False,NOMINAL,HEALTHY,21.3,11.78
MIX_LOT02_COMP0008,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0782,1600.9419,1601.073,1601.1738,1598.8637,-0.0275,-0.0127,35.64,35.89,2.0782,1600.9419,1601.073,1601.1738,1598.8637,75.0,False,NOMINAL,HEALTHY,-33.13,45.25
MIX_LOT02_COMP0009,LOT_02,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T02_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.8854,1445.812,1445.9676,1446.0087,1443.9266,-0.0236,-0.1016,36.04,36.51,1.8854,1445.812,1445.9676,1446.0087,1443.9266,75.0,False,NOMINAL,HEALTHY,25.86,39.83
