component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
PRE_LOT01_COMP0000,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.7289,7604.9744,7605.7603,7606.4335,7587.2455,0.0021,-0.0575,33.46,33.0,17.7289,7604.9744,7605.7603,7606.4335,7587.2455,100.0,False,NOMINAL,HEALTHY,43.26,-43.97
PRE_LOT01_COMP0001,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,19.8565,8521.9747,8523.0104,8523.837,8502.1182,0.0225,0.0412,34.15,34.35,19.8565,8521.9747,8523.0104,8523.837,8502.1182,100.0,False,NOMINAL,HEALTHY,12.87,-33.35
PRE_LOT01_COMP0002,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.3789,7447.0343,7447.8316,7448.4095,7429.6554,-0.0048,0.0183,34.53,34.61,17.3789,7447.0343,7447.8316,7448.4095,7429.6554,100.0,False,NOMINAL,HEALTHY,-39.18,-16.66
PRE_LOT01_COMP0003,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,19.3495,8303.7608,8304.5754,8305.1955,8284.4113,0.0167,0.0886,35.39,35.57,19.3495,8303.7608,8304.5754,8305.1955,8284.4113,100.0,False,NOMINAL,HEALTHY,28.68,-11.49
PRE_LOT01_COMP0004,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.4311,6606.6834,6607.4243,6607.9685,6591.2523,0.0062,0.0448,37.59,36.77,15.4311,6606.6834,6607.4243,6607.9685,6591.2523,100.0,False,NOMINAL,HEALTHY,29.44,10.7
PRE_LOT01_COMP0005,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,16.3102,7006.2106,7007.0212,7007.6143,6989.9004,0.0141,-0.0161,36.11,35.54,16.3102,7006.2106,7007.0212,7007.6143,6989.9004,100.0,False,NOMINAL,HEALTHY,-10.76,23.78
PRE_LOT01_COMP0006,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.4747,6637.3182,6638.0226,6638.4372,6621.8435,0.0051,0.016,33.57,34.0,15.4747,6637.3182,6638.0226,6638.4372,6621.8435,100.0,False,NOMINAL,HEALTHY,19.49,-22.61
PRE_LOT01_COMP0007,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.0186,7294.8236,7295.5785,7296.0556,7277.805,-0.0068,-0.0995,35.02,34.79,17.0186,7294.8236,7295.5785,7296.0556,7277.805,100.0,False,NOMINAL,HEALTHY,-44.01,-49.07
PRE_LOT01_COMP0008,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.5091,7935.7969,7936.5641,7937.157,7917.2878,0.0422,0.0661,32.31,32.09,18.5091,7935.7969,7936.5641,7937.157,7917.2878,100.0,False,NOMINAL,HEALTHY,0.23,37.76
PRE_LOT01_COMP0009,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.9581,7703.0828,7703.913,7704.5924,7685.1247,-0.0058,-0.0023,35.14,35.06,17.9581,7703.0828,7703.913,7704.5924,7685.1247,100.0,False,NOMINAL,HEALTHY,-21.46,2.05
PRE_LOT01_COMP0010,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.027,7301.1487,7302.0121,7302.6294,7284.1217,0.0136,0.0692,32.51,32.78,17.027,7301.1487,7302.0121,7302.6294,7284.1217,100.0,False,NOMINAL,HEALTHY,18.49,48.96
PRE_LOT01_COMP0011,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,19.0477,8154.501,8155.4669,8156.2327,8135.4533,-0.0042,-0.0254,34.42,34.45,19.0477,8154.501,8155.4669,8156.2327,8135.4533,100.0,False,NOMINAL,HEALTHY,25.54,-37.88
PRE_LOT01_COMP0012,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.2248,7814.6404,7815.4601,7816.0901,7796.4156,-0.0068,-0.022,33.53,32.97,18.2248,7814.6404,7815.4601,7816.0901,7796.4156,100.0,False,NOMINAL,HEALTHY,-30.19,39.34
PRE_LOT01_COMP0013,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,16.8328,7210.047,7210.7906,7211.4297,7193.2142,-0.0086,0.0542,36.03,35.49,16.8328,7210.047,7210.7906,7211.4297,7193.2142,100.0,False,NOMINAL,HEALTHY,7.23,-42.8
PRE_LOT01_COMP0014,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,14.1722,6074.1261,6074.8205,6075.3029,6059.9539,-0.0104,-0.0258,34.85,34.71,14.1722,6074.1261,6074.8205,6075.3029,6059.9539,100.0,False,NOMINAL,HEALTHY,1.05,22.53
PRE_LOT01_COMP0015,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0015,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.1779,6501.4679,6502.2282,6502.766,6486.29,-0.0106,-0.15,34.78,35.29,15.1779,6501.4679,6502.2282,6502.766,6486.29,100.0,False,NOMINAL,HEALTHY,12.67,-2.95
PRE_LOT01_COMP0016,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0016,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,22.3008,9557.0043,9558.0727,9558.8764,9534.7035,0.0203,0.0687,34.76,34.29,22.3008,9557.0043,9558.0727,9558.8764,9534.7035,100.0,False,NOMINAL,HEALTHY,45.55,3.08
PRE_LOT01_COMP0017,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0017,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,20.2901,8701.6664,8725.2953,8823.9098,8681.3763,0.0003,-0.0272,37.58,37.72,20.2901,8701.6664,8725.2953,8823.9098,8681.3763,100.0,True,ELECTROMIGRATION,HEALTHY,2.7,-43.52
PRE_LOT01_COMP0018,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0018,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,16.6605,7137.5738,7138.4049,7139.0013,7120.9133,-0.0056,0.0024,34.36,33.6,16.6605,7137.5738,7138.4049,7139.0013,7120.9133,100.0,False,NOMINAL,HEALTHY,-8.56,22.33
PRE_LOT01_COMP0019,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0019,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,16.341,7007.0858,7007.9754,7008.6005,6990.7448,-0.0112,-0.0315,35.59,35.11,16.341,7007.0858,7007.9754,7008.6005,6990.7448,100.0,False,NOMINAL,HEALTHY,19.13,-31.44
PRE_LOT01_COMP0020,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0020,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.9665,7701.6478,7702.4282,7703.122,7683.6813,-0.0018,-0.1235,34.35,33.31,17.9665,7701.6478,7702.4282,7703.122,7683.6813,100.0,False,NOMINAL,HEALTHY,-3.5,42.23
PRE_LOT01_COMP0021,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0021,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.0083,7299.075,7299.8914,7300.5159,7282.0667,-0.024,-0.0383,35.79,36.71,17.0083,7299.075,7299.8914,7300.5159,7282.0667,100.0,False,NOMINAL,HEALTHY,-15.36,43.7
PRE_LOT01_COMP0022,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0022,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.5842,6684.8635,6685.672,6686.2646,6669.2793,0.008,-0.0113,35.38,36.36,15.5842,6684.8635,6685.672,6686.2646,6669.2793,100.0,False,NOMINAL,HEALTHY,-16.17,12.69
PRE_LOT01_COMP0023,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0023,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.2539,7405.487,7406.3117,7406.8746,7388.2331,-0.0323,-0.0309,33.51,33.24,17.2539,7405.487,7406.3117,7406.8746,7388.2331,100.0,True,DIELECTRIC_OSCILLATION,HEALTHY,-8.01,19.58
PRE_LOT01_COMP0024,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0024,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,19.9554,8547.412,8548.3701,8549.1696,8527.4566,-0.0265,-0.0355,37.75,37.93,19.9554,8547.412,8548.3701,8549.1696,8527.4566,100.0,False,NOMINAL,HEALTHY,-29.06,33.53
PRE_LOT01_COMP0025,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0025,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,19.6499,8426.0578,8427.0413,8427.76,8406.4079,-0.001,-0.1196,33.91,34.39,19.6499,8426.0578,8427.0413,8427.76,8406.4079,100.0,False,NOMINAL,HEALTHY,-6.93,-0.12
PRE_LOT01_COMP0026,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0026,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.7796,7630.672,7631.6098,7632.3307,7612.8924,0.0419,0.0486,33.74,33.99,17.7796,7630.672,7631.6098,7632.3307,7612.8924,100.0,False,NOMINAL,HEALTHY,42.99,-21.37
PRE_LOT01_COMP0027,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0027,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.4982,7926.0264,7935.9254,8086.9847,7907.5282,-0.0307,0.0067,33.22,32.68,18.4982,7926.0264,7935.9254,8086.9847,7907.5282,100.0,True,THERMAL_RUNAWAY,HEALTHY,-11.62,46.4
PRE_LOT01_COMP0028,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0028,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.7921,5906.1878,5906.7995,5907.1768,5892.3957,-0.0124,0.0256,33.63,33.88,13.7921,5906.1878,5906.7995,5907.1768,5892.3957,100.0,False,NOMINAL,HEALTHY,-30.93,-44.13
PRE_LOT01_COMP0029,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0029,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.8675,5953.3436,5953.9877,5954.4881,5939.4761,0.0498,0.1432,33.07,33.01,13.8675,5953.3436,5953.9877,5954.4881,5939.4761,100.0,False,NOMINAL,HEALTHY,-28.03,20.57
PRE_LOT01_COMP0030,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0030,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.8823,8088.9127,8089.8172,8090.4326,8070.0304,-0.0055,0.0081,37.57,37.01,18.8823,8088.9127,8089.8172,8090.4326,8070.0304,100.0,False,NOMINAL,HEALTHY,11.94,-24.15
PRE_LOT01_COMP0031,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0031,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.9844,8139.6249,8140.5774,8141.2683,8120.6405,0.0091,0.0368,36.34,36.26,18.9844,8139.6249,8140.5774,8141.2683,8120.6405,100.0,False,NOMINAL,HEALTHY,-26.03,25.73
PRE_LOT01_COMP0032,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0032,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,17.4357,7482.194,7483.0272,7483.671,7464.7583,-0.0025,0.0365,35.86,36.78,17.4357,7482.194,7483.0272,7483.671,7464.7583,100.0,False,NOMINAL,HEALTHY,-9.57,-18.24
PRE_LOT01_COMP0033,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0033,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,16.8474,7239.0724,7239.9277,7240.4922,7222.225,0.0078,-0.0129,34.7,34.64,16.8474,7239.0724,7239.9277,7240.4922,7222.225,100.0,False,NOMINAL,HEALTHY,43.3,46.97
PRE_LOT01_COMP0034,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0034,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,16.4402,7063.626,7064.3328,7064.9064,7047.1858,-0.0137,0.0156,33.66,33.58,16.4402,7063.626,7064.3328,7064.9064,7047.1858,100.0,False,NOMINAL,HEALTHY,0.4,16.16
PRE_LOT01_COMP0035,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0035,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.3953,7885.2371,7886.1447,7886.8049,7866.8418,-0.002,0.0415,35.65,35.48,18.3953,7885.2371,7886.1447,7886.8049,7866.8418,100.0,False,NOMINAL,HEALTHY,8.23,45.21
PRE_LOT01_COMP0036,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0036,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.3762,7872.6734,7873.5248,7874.1383,7854.2972,0.011,0.0569,35.33,35.19,18.3762,7872.6734,7873.5248,7874.1383,7854.2972,100.0,False,NOMINAL,HEALTHY,-10.48,-40.29
PRE_LOT01_COMP0037,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0037,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.8268,6788.4272,6789.141,6789.6859,6772.6004,-0.0085,0.0764,35.47,36.24,15.8268,6788.4272,6789.141,6789.6859,6772.6004,100.0,False,NOMINAL,HEALTHY,12.82,-31.14
PRE_LOT01_COMP0038,LOT_01,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T01_0038,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,18.8874,8098.401,8099.3334,8100.0317,8079.5136,0.0185,0.0121,35.36,34.8,18.8874,8098.401,8099.3334,8100.0317,8079.5136,100.0,False,NOMINAL,HEALTHY,-4.63,8.71
