lot_id,split,num_components,defect_count,defect_rate_pct,sensor_faults,config_hash
LOT_01,TRAIN,500,41,8.2,7,4fe4a0d44679
LOT_02,TRAIN,500,45,9.0,7,dab3d6639b58
LOT_03,TRAIN,500,37,7.4,3,9040001eaf0c
LOT_04,TRAIN,500,45,9.0,6,9b9cc2556fab
LOT_05,TRAIN,500,28,5.6,4,e19c65ab3b30
LOT_06,TRAIN,500,33,6.6,4,2fa42121a683
LOT_07,TRAIN,500,41,8.2,3,7a792ec2a783
LOT_08,VAL,500,48,9.6,4,d932022d971b
LOT_09,VAL,500,32,6.4,3,e61a1422f80b
LOT_10,BLIND_TEST,500,48,9.6,5,83e2ed88700b
LOT_11,BLIND_TEST,500,42,8.4,4,a22b9ea743f7
