lot_id,component_id,payload_type,device_spec_id,operating_voltage_v,test_temperature_c,iddq_0h,iddq_24h,iddq_168h_actual,v_offset_0h,v_offset_24h,snr_24h,spec_max_iddq,is_defective_gt,category_label,failure_mode_gt
LOT_2026_01,LOT_2026_01_COMP_0000,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.154,3.871,4.015,4.975,5.189,43.14,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0001,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.141,3.824,4.027,5.023,5.242,43.32,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0002,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.083,3.697,3.824,4.964,5.033,43.11,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0003,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.146,3.821,3.968,5.057,5.209,43.17,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0004,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.145,3.862,4.024,5.143,5.304,43.38,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0005,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.347,4.369,4.518,5.143,5.261,43.52,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0006,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.245,4.178,4.347,4.869,5.122,43.57,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0007,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.098,3.712,3.817,4.926,5.228,43.06,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0008,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.352,4.58,4.72,5.468,5.523,42.34,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0009,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.23,4.1,4.264,4.802,5.135,43.04,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0010,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.276,4.154,4.271,5.295,5.434,42.62,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0011,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.21,3.998,4.159,4.953,5.095,42.84,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0012,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.239,4.232,4.333,5.057,5.176,42.88,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0013,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.203,4.103,4.27,5.097,5.243,42.79,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0014,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.209,4.015,4.156,5.138,5.237,43.33,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0015,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.143,3.826,3.791,5.058,5.002,45.47,15.0,1,2,MEMS_MICROCRACK
LOT_2026_01,LOT_2026_01_COMP_0016,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.216,4.058,4.228,5.047,5.215,42.27,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0017,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.181,4.055,4.192,5.093,5.309,42.88,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0018,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.216,3.915,4.015,4.816,5.014,42.77,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0019,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.247,4.176,4.325,5.175,5.389,42.88,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0020,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.13,3.893,4.05,5.102,5.304,43.52,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0021,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.307,4.361,4.565,4.993,5.156,43.08,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0022,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.337,4.383,4.51,4.854,5.053,43.1,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0023,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.269,4.222,4.37,5.013,5.229,42.67,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0024,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.284,4.244,4.42,5.144,5.295,43.76,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0025,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.137,3.671,3.823,4.991,5.199,43.52,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0026,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.29,4.236,4.418,5.215,5.269,42.8,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0027,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.094,3.63,3.833,5.112,5.259,43.33,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0028,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.321,4.424,4.534,5.05,5.281,43.15,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0029,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.224,4.076,4.189,4.884,5.203,43.14,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0030,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.865,6.222,6.528,6.252,6.177,43.27,15.0,1,3,FREAK_OUTLIER
LOT_2026_01,LOT_2026_01_COMP_0031,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.175,3.943,4.099,4.914,5.12,42.78,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0032,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.087,3.595,3.765,4.822,5.072,42.68,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0033,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.339,4.533,4.683,5.068,5.316,43.28,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0034,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.249,4.166,4.322,5.022,5.21,42.71,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0035,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.259,4.147,4.321,5.223,5.4,42.83,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0036,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.251,4.167,4.349,5.113,5.306,42.74,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0037,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.215,4.053,4.159,4.841,5.098,43.26,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0038,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.227,4.069,4.206,4.638,4.873,42.58,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0039,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.153,3.858,3.955,4.815,5.181,42.57,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0040,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.219,4.206,4.346,4.957,5.05,42.84,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0041,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.301,4.331,4.465,4.812,4.911,42.45,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0042,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.298,4.241,4.378,4.902,5.085,44.01,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0043,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.215,4.041,4.197,5.042,5.175,42.87,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0044,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.158,3.851,4.069,5.05,5.302,43.22,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0045,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.373,4.462,7386.821,5.214,5.685,45.33,15.0,1,1,THERMAL_RUNAWAY
LOT_2026_01,LOT_2026_01_COMP_0046,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.041,3.528,3.664,5.181,5.566,43.06,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0047,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.244,4.114,4.306,4.934,5.237,43.12,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0048,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.351,4.51,4.669,4.87,5.06,43.59,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0049,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.227,4.098,4.231,4.989,5.325,43.23,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0050,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.277,4.292,4.444,5.043,5.213,43.82,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0051,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.242,4.26,4.417,4.612,4.818,43.78,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0052,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.157,3.72,3.858,4.931,5.178,43.55,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0053,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.288,4.26,4.389,5.023,5.214,43.59,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0054,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.356,4.444,4.592,4.96,5.158,43.5,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0055,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.328,4.42,4.556,5.144,5.144,43.5,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0056,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.311,4.494,4.606,5.157,5.322,43.56,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0057,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.189,3.972,4.093,4.926,5.035,42.75,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0058,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.21,4.058,4.253,5.028,5.111,43.21,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0059,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.119,3.824,4.0,5.073,5.224,42.88,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0060,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.436,4.671,4.811,4.825,5.011,43.2,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0061,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.123,3.862,3.992,5.175,5.327,42.57,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0062,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.203,3.957,4.077,4.708,4.931,42.96,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0063,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.23,4.157,4.261,4.804,5.075,43.59,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0064,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.12,3.726,3.887,4.96,5.268,42.83,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0065,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.154,3.916,4.086,4.839,5.123,41.93,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0066,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.127,3.766,3.904,5.125,5.284,43.62,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0067,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.18,3.895,4.04,4.891,5.048,43.49,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0068,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.369,4.498,4.711,4.907,5.164,43.52,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0069,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.24,4.088,42913.792,4.867,5.425,44.75,15.0,1,1,THERMAL_RUNAWAY
LOT_2026_01,LOT_2026_01_COMP_0070,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.219,3.985,4.138,4.982,5.141,43.46,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0071,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.208,4.005,4.17,4.835,4.997,43.82,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0072,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.064,3.664,3.771,5.035,5.26,42.59,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0073,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.147,3.844,3.965,5.03,5.244,42.91,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0074,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.249,4.248,4.358,4.916,4.996,43.13,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0075,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.246,4.186,4.298,5.219,5.488,42.89,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0076,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.144,3.77,3.902,5.176,5.367,43.25,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0077,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.233,4.169,4.344,5.125,5.25,42.8,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0078,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.136,3.789,3.915,4.998,5.148,43.66,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0079,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.225,4.11,4.283,4.833,5.063,43.8,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0080,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.382,4.626,4.748,5.135,5.3,43.09,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0081,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.199,3.901,4.075,5.173,5.44,42.62,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0082,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.175,3.869,3.963,4.893,5.011,43.04,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0083,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.09,3.67,3.791,4.596,4.846,42.36,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0084,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.209,4.034,4.227,5.339,5.447,42.66,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0085,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.124,3.788,3.949,4.842,5.024,42.72,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0086,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.362,4.498,4.66,4.777,5.09,42.72,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0087,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.2,3.959,4.098,5.1,5.348,42.76,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0088,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.169,3.991,4.134,5.375,5.414,42.39,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0089,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.14,3.731,3.899,5.064,5.223,44.18,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0090,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.187,3.944,4.074,5.062,5.35,42.62,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0091,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.179,3.995,4.128,5.193,5.33,42.79,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0092,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.381,4.596,4.775,4.906,5.129,42.84,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0093,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.183,3.887,4.034,4.792,4.972,41.93,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0094,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.16,3.949,4.112,4.88,5.165,43.3,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0095,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.262,4.108,11017.331,4.806,5.407,45.06,15.0,1,1,THERMAL_RUNAWAY
LOT_2026_01,LOT_2026_01_COMP_0096,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.049,3.5,3.679,4.889,5.121,43.18,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0097,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.282,4.333,4.445,5.029,5.241,42.09,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0098,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.188,3.991,4.091,5.142,5.369,42.78,15.0,0,0,HEALTHY
LOT_2026_01,LOT_2026_01_COMP_0099,SPACE_MEMS_SENSOR,ISRO-MEMS-SENS-2026,3.96,125.0,1.079,3.67,3.809,5.122,5.432,43.26,15.0,0,0,HEALTHY
