component_id,lot_id,wafer_id,wafer_x,wafer_y,device_family,device_spec_id,operating_voltage_v,test_temperature_c,observation_horizon_h,iddq_0h,iddq_24h,iddq_168h_actual,v_offset_0h,v_offset_24h,v_offset_168h,snr_0h,snr_24h,snr_168h,t_die_0h,t_die_24h,delta_iddq,delta_v_offset,delta_snr,spec_max_iddq,is_defective_gt,failure_class,failure_mode_gt,is_sensor_fault
LOT_01_COMP_0000,LOT_01,LOT_01_W00,0.3456,-0.4032,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.065,3.709,3.854,4.92,5.03,5.01,44.8,42.34,42.79,24.93,125.06,2.644,0.11,-2.46,15.0,0,0,NOMINAL,0
LOT_01_COMP_0001,LOT_01,LOT_01_W00,-0.9941,-0.6086,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.183,4.059,4.242,5.03,5.12,5.22,44.44,42.69,42.94,25.11,124.85,2.876,0.09,-1.75,15.0,0,0,NOMINAL,0
LOT_01_COMP_0002,LOT_01,LOT_01_W00,0.5612,0.2237,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.178,3.991,4.168,5.37,5.46,5.41,45.23,43.32,42.83,25.03,125.0,2.813,0.09,-1.91,15.0,0,0,NOMINAL,0
LOT_01_COMP_0003,LOT_01,LOT_01_W00,-0.3751,-0.3105,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.269,4.148,4.271,5.05,5.26,5.3,44.77,42.81,42.7,25.07,124.77,2.879,0.21,-1.96,15.0,0,0,NOMINAL,0
LOT_01_COMP_0004,LOT_01,LOT_01_W00,0.2161,0.2934,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.08,3.652,3.818,4.77,5.07,5.02,44.73,42.62,42.74,24.85,125.14,2.572,0.3,-2.11,15.0,0,0,NOMINAL,0
LOT_01_COMP_0005,LOT_01,LOT_01_W00,0.428,-0.9472,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.308,4.349,4.43,5.21,5.27,5.32,45.55,43.79,43.62,25.04,125.08,3.041,0.06,-1.76,15.0,0,0,NOMINAL,0
LOT_01_COMP_0006,LOT_01,LOT_01_W00,0.7581,0.9277,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.23,4.013,4.162,5.13,5.33,5.28,44.91,42.93,42.93,24.88,124.91,2.783,0.2,-1.98,15.0,0,0,NOMINAL,0
LOT_01_COMP_0007,LOT_01,LOT_01_W00,-0.0158,-0.8615,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.073,3.715,3.845,5.19,5.4,5.5,44.72,42.81,42.89,25.02,125.05,2.642,0.21,-1.91,15.0,0,0,NOMINAL,0
LOT_01_COMP_0008,LOT_01,LOT_01_W00,0.4751,-0.6514,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.127,3.656,3.779,5.21,5.39,5.45,45.3,43.1,42.95,25.11,125.05,2.529,0.18,-2.2,15.0,0,0,NOMINAL,0
LOT_01_COMP_0009,LOT_01,LOT_01_W00,-0.5837,-0.0244,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.143,3.612,3.792,4.94,5.0,5.18,44.96,43.09,42.74,25.17,124.93,2.469,0.06,-1.87,15.0,0,0,NOMINAL,0
LOT_01_COMP_0010,LOT_01,LOT_01_W00,0.4592,-0.6467,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.162,3.809,3.95,5.09,5.24,5.08,45.39,43.61,43.54,25.0,124.94,2.647,0.15,-1.78,15.0,0,0,NOMINAL,0
