component_id,lot_id,wafer_id,wafer_x,wafer_y,hour,t_ambient_c,t_die_c,iddq_ua,v_cc_v,v_offset_mv,snr_db,instrument_id,failure_class,is_sensor_fault
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,0,25.0,24.95,1.163,3.96,4.58,44.72,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,1,96.35,96.37,2.767,3.96,4.54,43.11,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,2,116.79,116.88,3.498,3.96,4.72,42.88,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,3,122.65,122.63,3.763,3.96,4.83,42.62,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,4,124.33,124.31,3.847,3.96,4.83,42.43,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,5,124.81,124.87,3.852,3.96,4.74,42.49,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,6,124.94,124.88,3.88,3.96,4.75,42.86,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,7,124.98,124.91,3.875,3.96,4.81,42.53,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,8,125.0,125.08,3.892,3.96,4.88,42.45,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,9,125.0,125.05,3.882,3.96,4.86,42.5,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,10,125.0,124.91,3.908,3.96,4.91,42.56,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,11,125.0,124.97,3.851,3.96,4.85,42.66,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,12,125.0,125.0,3.836,3.96,4.82,42.54,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,13,125.0,125.03,3.859,3.96,4.81,42.67,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,14,125.0,124.98,3.87,3.96,4.78,42.66,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,15,125.0,125.23,3.922,3.96,4.88,42.68,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,16,125.0,125.02,3.852,3.96,4.77,42.97,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,17,125.0,124.97,3.874,3.96,4.74,42.47,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,18,125.0,124.94,3.857,3.96,4.82,42.31,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,19,125.0,125.08,3.897,3.96,4.9,42.43,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,20,125.0,124.93,3.897,3.96,4.84,42.61,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,21,125.0,124.98,3.927,3.96,4.69,42.56,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,22,125.0,124.99,3.878,3.96,4.75,42.81,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,23,125.0,125.05,3.898,3.96,4.91,42.69,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,24,125.0,125.0,3.865,3.96,4.87,42.66,ASQD-ATE-SIM-01,0,0
LOT_05_COMP_0000,LOT_05,LOT_05_W00,-0.4431,0.6254,25,125.0,124.87,3.894,3.96,4.68,42.4,ASQD-ATE-SIM-01,0,0
